symbol,config,mse_h1,mse_h5,mse_h22,mse_avg
.FTSE,diag_n100_sn0.99,0.3695567280072751,0.4693823955510521,0.6512651016133916,0.4967347417239063
.FTSE,diag_n200_sn0.90,0.3702172006338976,0.4652204509310868,0.6558133925452966,0.4970836813700936
.FTSE,diag_n200_sn0.95,0.37032566331373395,0.4660802554032857,0.6505242918352883,0.49564340351743597
.FTSE,diag_p2_n100_sn0.90,0.37063233577884164,0.46766887342106245,0.7154466363358798,0.5179159485119279
.FTSE,diag_p2_n100_sn0.95,0.369793391977036,0.46634153818964885,0.6860377801326929,0.507390903433126
.FTSE,aug_n100_sn0.90,0.3708169061258255,0.46821863714460293,0.6591573628946682,0.49939763538836557
.FTSE,aug_n100_sn0.95,0.3699493049510454,0.4652539696637202,0.6419544420668772,0.49238590556054757
.GDAXI,HAR,0.3406097206835605,0.44265907493248285,0.6192170639759095,0.4674952865306509
.GDAXI,HAR_Ridge,0.340385708412547,0.4426184132787716,0.6192384420119094,0.467414187901076
.GDAXI,diag_n100_sn0.80,0.3389163616844249,0.447843043922499,0.6399922814632586,0.4755838956900608
.GDAXI,diag_n100_sn0.90,0.3375917044287899,0.4418721339240023,0.6225945098758287,0.4673527827428736
.GDAXI,diag_n100_sn0.95,0.3371905132028897,0.44093846933796155,0.6170312934127027,0.4650534253178513
.GDAXI,diag_n100_sn0.99,0.33772000349650977,0.4436854452357848,0.6191485206627475,0.46685132313168065
.GDAXI,diag_n200_sn0.90,0.338586072475166,0.44195235858099213,0.6236496960947188,0.4680627090502923
.GDAXI,diag_n200_sn0.95,0.33835626505040917,0.441368242353812,0.6215958885914954,0.46710679866523885
.GDAXI,diag_p2_n100_sn0.90,0.3384041433943618,0.4448776098067371,0.6561862776068689,0.4798226769359893
.GDAXI,diag_p2_n100_sn0.95,0.3371004123859954,0.44212466561966124,0.6535823004133688,0.47760245947300844
.GDAXI,aug_n100_sn0.90,0.3381842241738493,0.4438075170329591,0.6293823309452206,0.4704580240506764
.GDAXI,aug_n100_sn0.95,0.3369683375289733,0.4419851294183077,0.6222766615717842,0.46707670950635505
.GSPTSE,HAR,0.3366897946678002,0.4002899211572164,0.48966573444213957,0.4088818167557187
.GSPTSE,HAR_Ridge,0.33665407486173005,0.40036943666816727,0.489819277821226,0.40894759645037443
.GSPTSE,diag_n100_sn0.80,0.3361085218239837,0.40040142554984853,0.5282300522250433,0.42157999986629185
.GSPTSE,diag_n100_sn0.90,0.3395721040803222,0.397327827423381,0.5268782267943587,0.42125938609935404
.GSPTSE,diag_n100_sn0.95,0.34366467989745153,0.3959440378486511,0.51548568433764,0.4183648006945808
.GSPTSE,diag_n100_sn0.99,0.33509158277304374,0.3971441643054601,0.5147326105756216,0.41565611921804185
.GSPTSE,diag_n200_sn0.90,0.33474147173786245,0.39672598653486324,0.5374333182453533,0.4229669255060264
.GSPTSE,diag_n200_sn0.95,0.33536234986499447,0.39492307312529695,0.5053677106271086,0.4118843778724666
.GSPTSE,diag_p2_n100_sn0.90,0.33415982410250145,0.3974471539044322,0.580723356720098,0.43744344490901055
.GSPTSE,diag_p2_n100_sn0.95,0.3343965064713038,0.398049970258981,0.5943852907738714,0.4422772558347187
.GSPTSE,aug_n100_sn0.90,0.33598568770698173,0.39749993229486696,0.5089021139981694,0.41412924466667267
.GSPTSE,aug_n100_sn0.95,0.33483359080837555,0.39550487313932464,0.6696492348138421,0.46666256625384744
.HSI,HAR,0.36626717783333956,0.44086056783687155,0.5795060444851907,0.4622112633851339
.HSI,HAR_Ridge,0.3662294179136908,0.44112830458610575,0.578673643473166,0.4620104553243209
.HSI,diag_n100_sn0.80,0.3616578332824463,0.48874619087861615,0.641369027534149,0.4972576838984038
.HSI,diag_n100_sn0.90,0.3630365551010207,0.44042919821511894,0.5852134893719437,0.4628930808960277
.HSI,diag_n100_sn0.95,0.363395679225506,0.4391577365281911,0.5825611590929305,0.4617048582822092
.HSI,diag_n100_sn0.99,0.36338419969108354,0.4382041703128994,0.5860880013944847,0.4625587904661559
.HSI,diag_n200_sn0.90,0.36330539896500263,0.4384329460000435,0.5933469821444894,0.4650284423698452
.HSI,diag_n200_sn0.95,0.3636913790188334,0.44287177536715006,0.5782506453851194,0.461604599923701
.HSI,diag_p2_n100_sn0.90,0.36624411434155846,0.5169130411292252,0.6479294593222996,0.5103622049310278
.HSI,diag_p2_n100_sn0.95,0.3615120323615148,0.44126958331823546,0.6307366416078171,0.47783941909585576
.HSI,aug_n100_sn0.90,0.3647183039397684,0.4437157100362106,0.5873508905654158,0.4652616348471315
.HSI,aug_n100_sn0.95,0.3635739092196567,0.4394606115520771,0.5900851232966529,0.4643732146894622
.IBEX,HAR,0.37499223424505723,0.4970067262890286,0.6761722553594472,0.5160570719645111
.IBEX,HAR_Ridge,0.37454250027563174,0.4973985640883648,0.6753313819310928,0.5157574820983631
.IBEX,diag_n100_sn0.80,0.38653149951382004,0.5103992190288861,0.7075084885604915,0.5348130690343992
.IBEX,diag_n100_sn0.90,0.3856916377818164,0.49736355273771493,0.8552103059467419,0.5794218321554244
.IBEX,diag_n100_sn0.95,0.37281276449923384,0.4932049737787811,0.6609141482335086,0.5089772955038412
.IBEX,diag_n100_sn0.99,0.3717176503340995,0.49334192834221724,0.6530362580253568,0.5060319455672245
.IBEX,diag_n200_sn0.90,0.3770608215586406,0.5311170036802141,0.675939369324582,0.5280390648544789
.IBEX,diag_n200_sn0.95,0.3749225701646703,0.5313259126024075,0.663617420376877,0.5232886343813182
.IBEX,diag_p2_n100_sn0.90,0.37445793115832754,0.502962673746812,0.7176719707844295,0.5316975252298564
.IBEX,diag_p2_n100_sn0.95,0.3730513232554478,0.4939831008690784,0.6642587775725579,0.5104310672323614
.IBEX,aug_n100_sn0.90,0.37331513457806814,0.4961715512037045,0.7129610730482066,0.5274825862766598
.IBEX,aug_n100_sn0.95,0.37342767797157284,0.49492452374290996,0.6650968507015791,0.5111496841386872
.IXIC,HAR,0.4213550818017719,0.5728058389433247,0.7744519427470914,0.5895376211640627
.IXIC,HAR_Ridge,0.4211916418135395,0.5729712232089264,0.7744322759716283,0.589531713664698
.IXIC,diag_n100_sn0.80,0.41887602714251865,0.5706869409240845,0.7873630026028792,0.5923086568898275
.IXIC,diag_n100_sn0.90,0.4194949783085604,0.5771143315199977,156.0064135801865,52.33434096333835
.IXIC,diag_n100_sn0.95,0.42013622637220577,0.6384255879206798,1.2640048084771325,0.7741888742566726
.IXIC,diag_n100_sn0.99,0.4194476470643663,0.5925363761567619,0.8167190544069026,0.6095676925426768
.IXIC,diag_n200_sn0.90,0.41902356798916957,0.5868746469424584,0.8186081408323428,0.6081687852546569
.IXIC,diag_n200_sn0.95,0.41903674112707173,0.5716834926854847,0.797360107449863,0.5960267804208065
.IXIC,diag_p2_n100_sn0.90,0.4163709739996617,0.5746043635706567,0.7948648496219364,0.5952800623974183
.IXIC,diag_p2_n100_sn0.95,0.41422948872088516,0.5751633884024272,0.782115175557626,0.5905026842269795
.IXIC,aug_n100_sn0.90,0.41994487711122436,0.5820169730310084,0.8134129213543901,0.6051249238322076
