sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.AEX,256,1,16,1.0,0.0,0.23473843955639076
.AEX,256,1,17,1.7782794100389228,0.25,0.23442639221641745
.AEX,256,1,18,3.1622776601683795,0.5,0.23412970050005835
.AEX,256,1,19,5.623413251903491,0.75,0.2338396753986544
.AEX,256,1,20,10.0,1.0,0.2335631716805201
.AEX,256,1,21,17.78279410038923,1.25,0.23332487142142216
.AEX,256,1,22,31.622776601683793,1.5,0.23316962927451207
.AEX,256,1,23,56.23413251903491,1.75,0.23317956209589005
.AEX,256,1,24,100.0,2.0,0.2335359258221581
.AEX,256,1,25,177.82794100389228,2.25,0.23467850074822189
.AEX,256,1,26,316.22776601683796,2.5,0.23765393594649128
.AEX,256,1,27,562.341325190349,2.75,0.24474400613548114
.AEX,256,1,28,1000.0,3.0,0.26018713055189335
.AEX,256,1,29,1778.2794100389228,3.25,0.2901855626333319
.AEX,256,1,30,3162.2776601683795,3.5,0.3414816607331727
.AEX,256,1,31,5623.413251903491,3.75,0.4189852396207137
.AEX,256,1,32,10000.0,4.0,0.5227997432567101
.AEX,256,1,33,17782.794100389227,4.25,0.6449585573297695
.AEX,256,1,34,31622.776601683792,4.5,0.7697365581668778
.AEX,256,1,35,56234.13251903491,4.75,0.8804235406289992
.AEX,256,1,36,100000.0,5.0,0.9669853674431269
.AORD,42,1,0,0.0001,-4.0,0.43326415579465305
.AORD,42,1,1,0.00017782794100389227,-3.75,0.8227763712443089
.AORD,42,1,2,0.00031622776601683794,-3.5,0.4266563206810192
.AORD,42,1,3,0.0005623413251903491,-3.25,0.42249319674459657
.AORD,42,1,4,0.001,-3.0,0.4220296715453726
.AORD,42,1,5,0.0017782794100389228,-2.75,0.4216321158168752
.AORD,42,1,6,0.0031622776601683794,-2.5,0.42131169177345557
.AORD,42,1,7,0.005623413251903491,-2.25,0.42106281994136907
.AORD,42,1,8,0.01,-2.0,0.42087408083834105
.AORD,42,1,9,0.01778279410038923,-1.75,0.42072365513071575
.AORD,42,1,10,0.03162277660168379,-1.5,0.42058288044972203
.AORD,42,1,11,0.05623413251903491,-1.25,0.42042750753182045
.AORD,42,1,12,0.1,-1.0,0.4202480824848998
.AORD,42,1,13,0.1778279410038923,-0.75,0.4200483792636749
.AORD,42,1,14,0.31622776601683794,-0.5,0.4198358031197177
.AORD,42,1,15,0.5623413251903491,-0.25,0.4196150112746644
.AORD,42,1,16,1.0,0.0,0.4193880750571602
.AORD,42,1,17,1.7782794100389228,0.25,0.4191557340046041
.AORD,42,1,18,3.1622776601683795,0.5,0.4189160607169179
